"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sept","Oct","Nov","Dec"
"1920",-1.3341372800014,-0.469266787411987,-1.73157393663099,-3.06231711571851,1.19540120335959,0.892804257284356,1.77489018491156,-0.602036607338593,-0.550322824592022,0.357238695469362,0.222957973037241,0.33992235873581
"1921",0,-0.762940917735004,-0.525544205676395,0.564713945082623,0.376185149659265,0.970019760617058,-0.333890232805145,-0.324173557797704,-1.12726032556837,-1.80445099159567,-0.668873919111724,0.310497159061655
"1922",1.15763662817242,1.1165735163323,0,-0.361336538526177,0.307917145184238,1.51052828394596,1.10008045124221,0.787278640365852,0.685971820357294,0.0651184674876009,0.222957973037241,-0.98421162660116
"1923",-0.127594124464602,-0.116857831024367,1.13992542278471,0.101688703278223,-0.374762899566035,-1.26922983603127,-0.755646316348485,-1.52824677247489,0.0266146763843259,0.415662741065714,0.344571412875737,0.2810719593875
"1924",1.05271983203879,0.147448886266348,0,-1.32597245895201,-0.647834917466145,-1.88695386269288,0.593973150990204,-0.231552541284074,-0.220644252605537,1.11675128822194,-0.304033599596238,0.457623157432429
"1925",0.790427841704699,-0.204960070121272,0.651770531684043,-0.0912384808069434,-0.852638930891226,0.738373250618954,1.60618775149422,0.324173557797704,0.685971820357294,-0.986514353246739,-1.07425205190671,-0.80766042855623
"1926",0.0560102687692578,-0.0287555919274623,0,-0.28416566489211,-1.5353189756415,-0.883152319367769,-1.59915848343517,-1.34300473944763,-0.138224609608916,-1.22021053563215,-1.47963018470169,-0.248581634747288
"1927",-0.337427716731871,0.264918538395555,-0.38196923770561,-1.05587440123278,-1.33051496221642,-1.11479882936587,0.678324367698872,-0.138931524770445,-2.0338763985312,-1.04493839884309,-0.831025172229718,-1.01363682627531
"1928",0.633052647504248,0.470490429621666,0.0774706598009027,-0.322751101709144,-0.989174939841281,-1.96416936602558,-0.755646316348485,-1.06514168990674,-0.0558049666122953,-1.45390671801756,-1.03371423862721,-0.631109230511301
"1929",0,1.23404316846151,0,0,-1.39878296669144,-1.88695386269288,-1.26175361660049,-1.99135185504304,-0.303063895602159,-0.986514353246739,0.222957973037241,1.36980434733123
"1930",-0.0751357263977853,0.35302077749246,-1.50185398787773,-2.25202294256081,0.444453154134292,0.970019760617058,0.425270717572868,0.509415590824963,-0.550322824592022,-0.168577714897808,0.141882346478245,1.07555235058968
"1931",-0.0489065273643765,1.23404316846151,0,1.14349549733812,-0.51129890851609,-1.42366084269668,-0.586943882931149,0.509415590824963,-1.04484068257175,-0.577546034072273,1.56070581126069,0.634174355477359
"1932",-0.153823323498011,0.000611821104839584,-0.38196923770561,0,-1.33051496221642,-0.728721312702366,-1.00869996647449,0.787278640365852,-1.86903711253796,0.0651184674876009,0.0202689066397491,0.604749155803204
"1933",1.73467900690741,0.441123016589365,-0.0948193017640393,-0.63143459624541,0.0348451272841285,0.970019760617058,0.256568284155532,0.416794574311334,1.18048967833702,0.357238695469362,0.547260479273229,0.22222156003919
"1934",0.97403223493856,-0.968512808961116,1.19735540997303,-0.901532653964644,0.580989163084347,0.352295733955449,0.931378017824876,1.52824677247489,2.33436468028972,1.05832724262559,0.587798292552727,0.840150753196443
"1935",0.160927064902892,0.17681629929865,-0.324539250517295,0.0245178296441566,-1.26224695774139,-1.26922983603127,-0.839997533057153,1.06514168990674,-1.86903711253796,0.590934877854771,1.1958654917452,0.634174355477359
"1936",0.633052647504248,-0.557369026508893,0,-0.16840935444101,1.87808124810987,0.815588753951656,-1.5148072667265,-0.0463105082568147,-0.138224609608916,0.181966558680305,0.304033599596238,0.516473556780739
"1937",1.41992861850651,-0.351797135282781,-0.267109263328982,1.37500811824032,1.33193721230965,1.51052828394596,0.931378017824876,1.99135185504304,0.35629324837081,0.707782969047475,0.547260479273229,1.36980434733123
"1938",0.947803035905151,0.793531972976985,-0.0373893145757252,0.217445013729323,0.0348451272841285,0.275080230622748,0.762675584407539,0.694657623852223,1.01565039234378,1.292023425011,1.07425205190671,1.98773354048848
"1939",0.528135851370613,0.206183712330951,0.479480570119101,-0.0140676071728766,0.444453154134292,-0.0337817827080565,0.172217067446864,1.71348880550215,-0.797581753581885,0.240390604276658,0.425647039434734,-0.248581634747288
"1940",-1.41282487710162,-1.08598246109032,-1.87514890460177,-2.05909575847564,1.26366920783462,1.04723526394976,-1.43045605001783,0.138931524770444,0.273873605374189,0.240390604276658,-0.26349578631674,0.251646759713345
"1941",0,0,-0.152249288952353,-0.940118090781677,-1.74012298906658,-1.03758332603317,0.678324367698872,-0.509415590824963,-0.632742467588643,-0.75281817086133,0.831025172229718,-0.366282433443907
"1942",0.187156263936301,0,0,-1.01728896441574,-2.14973101591674,-0.342643796038861,0.00351463402952763,-0.138931524770445,-1.04484068257175,0.181966558680305,-0.344571412875737,0.133945961016726
"1943",0.00355187070244078,0,-0.468114218488081,-0.51567828579431,-0.443030904041063,0.275080230622748,0.0878658507381954,-0.879899656879482,-0.220644252605537,0.29881464987301,0.222957973037241,-0.101455636376513
"1944",0.292073060069935,0.235551125363253,0.737915512466514,-0.940118090781677,-0.716102921941172,-0.188212789373459,-0.839997533057153,-0.602036607338593,0.109034319380947,0.941479151432884,0.304033599596238,0.604749155803204
"1945",-0.678407304166183,0.441123016589365,0.623055538089886,0.448957634631523,-0.374762899566035,-0.805936816035067,0.762675584407539,0.509415590824963,0.521132534364052,-0.635970079668626,-0.912100798788715,0.39877275808412
