"St.no","TAM","month","year","month.human","scaled.temp","scaled"
99710,-9,2,1946,"February",0,-0.704206091670401
99710,-10.3,2,1940,"February",0,-1.08598246109032
99710,-6.3,2,1948,"February",0,0.0887140602017446
99710,-3,2,1949,"February",0,1.0578386902677
99710,-4.8,2,1950,"February",0,0.52922525568627
99710,-1.7,2,1951,"February",0,1.43961505968762
99710,-7.6,2,1952,"February",0,-0.293062309218177
99710,-6.5,2,1953,"February",0,0.0299792341371412
99710,-2.1,2,1954,"February",0,1.32214540755842
99710,-7,2,1955,"February",0,-0.116857831024367
99710,-3.6,2,1956,"February",0,0.88163421207389
99710,-5.4,2,1957,"February",0,0.35302077749246
99710,-5.9,2,1958,"February",0,0.206183712330951
99710,-4.7,2,1959,"February",0,0.558592668718571
99710,-11.8,2,1960,"February",0,-1.52649365657485
99710,-7.7,2,1961,"February",0,-0.322429722250479
99710,-8.6,2,1962,"February",0,-0.586736439541194
99710,-17.4,2,1960,"February",0,-3.17106878638374
99710,-5.8,2,1964,"February",0,0.235551125363253
99710,-8,2,1965,"February",0,-0.410531961347384
99710,-13.6,2,1960,"February",0,-2.05510709115628
99710,-4.9,2,1967,"February",0,0.499857842653968
99710,-10.9,2,1960,"February",0,-1.26218693928413
99710,-5.1,2,1969,"February",0,0.441123016589365
99710,-15.2,2,1970,"February",0,-2.52498569967311
99710,-4.5,2,1971,"February",0,0.617327494783175
99710,-4,2,1972,"February",0,0.764164559944683
99710,-7.5,2,1973,"February",0,-0.263694896185876
99710,-3.3,2,1974,"February",0,0.969736451170795
99710,-6.5,2,1975,"February",0,0.0299792341371412
99710,-3.8,2,1976,"February",0,0.822899386009287
99710,-7,2,1977,"February",0,-0.116857831024367
99710,-15.4,2,1970,"February",0,-2.58372052573771
99710,-7.4,2,1979,"February",0,-0.234327483153574
99710,-7.3,2,1980,"February",0,-0.204960070121272
99710,-3.2,2,1981,"February",0,0.999103864203097
99710,-7,2,1982,"February",0,-0.116857831024367
99710,-6.4,2,1983,"February",0,0.0593466471694427
99710,-1.6,2,1984,"February",0,1.46898247271992
99710,-4.7,2,1985,"February",0,0.558592668718571
99710,-9.8,2,1986,"February",0,-0.939145395928815
99710,-11.7,2,1980,"February",0,-1.49712624354255
99710,-5.9,2,1988,"February",0,0.206183712330951
99710,-10.4,2,1980,"February",0,-1.11534987412262
99710,-2.9,2,1990,"February",0,1.0872061033
99710,-1.9,2,1991,"February",0,1.38088023362302
99710,-9.3,2,1992,"February",0,-0.792308330767306
99710,-9,2,1993,"February",0,-0.704206091670401
99710,-7.6,2,1994,"February",0,-0.293062309218177
99710,-6.2,2,1995,"February",0,0.118081473234046
99710,-10.7,2,1990,"February",0,-1.20345211321953
99710,-9.2,2,1997,"February",0,-0.762940917735004
99710,-9,2,1998,"February",0,-0.704206091670401
99710,-5.5,2,1999,"February",0,0.323653364460158
99710,-4.1,2,2001,"February",0,0.734797146912382
99710,-6.4,2,2002,"February",0,0.0593466471694427
99710,-3.3,2,2003,"February",0,0.969736451170795
99710,-2.1,2,2005,"February",0,1.32214540755842
99710,-3.4,2,2006,"February",0,0.940369038138493
99710,-4.6,2,2007,"February",0,0.587960081750873
99710,-2.6,2,2008,"February",0,1.17530834239691
99710,-4.2,2,2009,"February",0,0.70542973388008
99710,-4,2,2010,"February",0,0.764164559944683
99710,-4.1,2,2011,"February",0,0.734797146912382
99710,-1.8,2,2012,"February",0,1.41024764665532
99710,-3.4,2,2013,"February",0,0.940369038138493
99710,-0.6,2,2014,"February",0,1.76265660304294
99710,-5.2,2,2015,"February",0,0.411755603557063
99710,-4.1,3,1920,"March",0,0.824060493248985
99710,-8.8,3,1921,"March",0,-0.525544205676395
99710,-11.6,3,1920,"March",0,-1.32956402631279
99710,-3,3,1923,"March",0,1.13992542278471
99710,-11.8,3,1920,"March",0,-1.38699401350111
99710,-4.7,3,1925,"March",0,0.651770531684043
99710,-11.8,3,1920,"March",0,-1.38699401350111
99710,-8.3,3,1927,"March",0,-0.38196923770561
99710,-6.7,3,1928,"March",0,0.0774706598009027
99710,-13,3,1920,"March",0,-1.73157393663099
99710,-9.1,3,1930,"March",0,-0.611689186458866
99710,-10.8,3,1930,"March",0,-1.09984407755954
99710,-8.3,3,1932,"March",0,-0.38196923770561
99710,-7.3,3,1933,"March",0,-0.0948193017640393
99710,-2.8,3,1934,"March",0,1.19735540997303
99710,-8.1,3,1935,"March",0,-0.324539250517295
99710,-12.2,3,1930,"March",0,-1.50185398787773
99710,-7.9,3,1937,"March",0,-0.267109263328982
99710,-7.1,3,1938,"March",0,-0.0373893145757252
99710,-5.3,3,1939,"March",0,0.479480570119101
99710,-12.1,3,1940,"March",0,-1.47313899428358
99710,-7.5,3,1941,"March",0,-0.152249288952353
99710,-14.6,3,1940,"March",0,-2.1910138341375
99710,-8.6,3,1943,"March",0,-0.468114218488081
99710,-4.4,3,1944,"March",0,0.737915512466514
99710,-4.8,3,1945,"March",0,0.623055538089886
99710,-6.3,3,1946,"March",0,0.192330634177531
99710,-13.5,3,1940,"March",0,-1.87514890460177
99710,-6.9,3,1948,"March",0,0.0200406726125886
99710,-3.3,3,1949,"March",0,1.05378044200224
99710,-4.8,3,1950,"March",0,0.623055538089886
99710,-8.2,3,1951,"March",0,-0.353254244111452
99710,-8.2,3,1952,"March",0,-0.353254244111452
99710,-10.6,3,1950,"March",0,-1.04241409037122
99710,-5.7,3,1954,"March",0,0.364620595742473
99710,-4.8,3,1955,"March",0,0.623055538089886
99710,-3.4,3,1956,"March",0,1.02506544840808
99710,-4.2,3,1957,"March",0,0.795345499654828
99710,-7.3,3,1958,"March",0,-0.0948193017640393
99710,-4.1,3,1959,"March",0,0.824060493248985
99710,-2.2,3,1960,"March",0,1.36964537153797
99710,-8.9,3,1961,"March",0,-0.554259199270552
99710,-17.6,3,1960,"March",0,-3.05246364196221
99710,-12.9,3,1960,"March",0,-1.70285894303683
99710,-2.1,3,1964,"March",0,1.39836036513213
99710,-12.8,3,1960,"March",0,-1.67414394944268
99710,-11.6,3,1960,"March",0,-1.32956402631279
99710,-6,3,1967,"March",0,0.278475614960002
99710,-13.4,3,1960,"March",0,-1.84643391100762
99710,-10.4,3,1960,"March",0,-0.984984103182907
