"St.no","TAM","month","year","scaled.temp","month.human","scaled"
99710,-1.7,2,1951,0,"February",1.43961505968762
99710,-7.6,2,1952,0,"February",-0.293062309218177
99710,-6.5,2,1953,0,"February",0.0299792341371412
99710,-2.1,2,1954,0,"February",1.32214540755842
99710,-7,2,1955,0,"February",-0.116857831024367
99710,-3.6,2,1956,0,"February",0.88163421207389
99710,-5.4,2,1957,0,"February",0.35302077749246
99710,-5.9,2,1958,0,"February",0.206183712330951
99710,-4.7,2,1959,0,"February",0.558592668718571
99710,-11.8,2,1960,0,"February",-1.52649365657485
99710,-7.7,2,1961,0,"February",-0.322429722250479
99710,-8.6,2,1962,0,"February",-0.586736439541194
99710,-5.8,2,1964,0,"February",0.235551125363253
99710,-8,2,1965,0,"February",-0.410531961347384
99710,-4.9,2,1967,0,"February",0.499857842653968
99710,-5.1,2,1969,0,"February",0.441123016589365
99710,-15.2,2,1970,0,"February",-2.52498569967311
99710,-4.5,2,1971,0,"February",0.617327494783175
99710,-4,2,1972,0,"February",0.764164559944683
99710,-7.5,2,1973,0,"February",-0.263694896185876
99710,-3.3,2,1974,0,"February",0.969736451170795
99710,-6.5,2,1975,0,"February",0.0299792341371412
99710,-3.8,2,1976,0,"February",0.822899386009287
99710,-7,2,1977,0,"February",-0.116857831024367
99710,-7.4,2,1979,0,"February",-0.234327483153574
99710,-7.3,2,1980,0,"February",-0.204960070121272
99710,-3.2,2,1981,0,"February",0.999103864203097
99710,-7,2,1982,0,"February",-0.116857831024367
99710,-6.4,2,1983,0,"February",0.0593466471694427
99710,-1.6,2,1984,0,"February",1.46898247271992
99710,-4.7,2,1985,0,"February",0.558592668718571
99710,-9.8,2,1986,0,"February",-0.939145395928815
99710,-5.9,2,1988,0,"February",0.206183712330951
99710,-2.9,2,1990,0,"February",1.0872061033
99710,-1.9,2,1991,0,"February",1.38088023362302
99710,-9.3,2,1992,0,"February",-0.792308330767306
99710,-9,2,1993,0,"February",-0.704206091670401
99710,-7.6,2,1994,0,"February",-0.293062309218177
99710,-6.2,2,1995,0,"February",0.118081473234046
99710,-9.2,2,1997,0,"February",-0.762940917735004
99710,-9,2,1998,0,"February",-0.704206091670401
99710,-5.5,2,1999,0,"February",0.323653364460158
99710,-4.1,2,2001,0,"February",0.734797146912382
99710,-6.4,2,2002,0,"February",0.0593466471694427
99710,-3.3,2,2003,0,"February",0.969736451170795
99710,-2.1,2,2005,0,"February",1.32214540755842
99710,-3.4,2,2006,0,"February",0.940369038138493
99710,-4.6,2,2007,0,"February",0.587960081750873
99710,-2.6,2,2008,0,"February",1.17530834239691
99710,-4.2,2,2009,0,"February",0.70542973388008
99710,-4,2,2010,0,"February",0.764164559944683
99710,-4.1,2,2011,0,"February",0.734797146912382
99710,-1.8,2,2012,0,"February",1.41024764665532
99710,-3.4,2,2013,0,"February",0.940369038138493
99710,-0.6,2,2014,0,"February",1.76265660304294
99710,-5.2,2,2015,0,"February",0.411755603557063
99710,-4.1,3,1920,0,"March",0.824060493248985
99710,-8.8,3,1921,0,"March",-0.525544205676395
99710,-3,3,1923,0,"March",1.13992542278471
99710,-4.7,3,1925,0,"March",0.651770531684043
99710,-8.3,3,1927,0,"March",-0.38196923770561
99710,-6.7,3,1928,0,"March",0.0774706598009027
99710,-9.1,3,1930,0,"March",-0.611689186458866
99710,-8.3,3,1932,0,"March",-0.38196923770561
99710,-7.3,3,1933,0,"March",-0.0948193017640393
99710,-2.8,3,1934,0,"March",1.19735540997303
99710,-8.1,3,1935,0,"March",-0.324539250517295
99710,-7.9,3,1937,0,"March",-0.267109263328982
99710,-7.1,3,1938,0,"March",-0.0373893145757252
99710,-5.3,3,1939,0,"March",0.479480570119101
99710,-12.1,3,1940,0,"March",-1.47313899428358
99710,-7.5,3,1941,0,"March",-0.152249288952353
99710,-8.6,3,1943,0,"March",-0.468114218488081
99710,-4.4,3,1944,0,"March",0.737915512466514
99710,-4.8,3,1945,0,"March",0.623055538089886
99710,-6.3,3,1946,0,"March",0.192330634177531
99710,-6.9,3,1948,0,"March",0.0200406726125886
99710,-3.3,3,1949,0,"March",1.05378044200224
99710,-4.8,3,1950,0,"March",0.623055538089886
99710,-8.2,3,1951,0,"March",-0.353254244111452
99710,-8.2,3,1952,0,"March",-0.353254244111452
99710,-5.7,3,1954,0,"March",0.364620595742473
99710,-4.8,3,1955,0,"March",0.623055538089886
99710,-3.4,3,1956,0,"March",1.02506544840808
99710,-4.2,3,1957,0,"March",0.795345499654828
99710,-7.3,3,1958,0,"March",-0.0948193017640393
99710,-4.1,3,1959,0,"March",0.824060493248985
99710,-2.2,3,1960,0,"March",1.36964537153797
99710,-8.9,3,1961,0,"March",-0.554259199270552
99710,-2.1,3,1964,0,"March",1.39836036513213
99710,-6,3,1967,0,"March",0.278475614960002
99710,-4.5,3,1970,0,"March",0.709200518872357
99710,-4.7,3,1972,0,"March",0.651770531684043
99710,-7,3,1973,0,"March",-0.00867432098156828
